parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT3749,"PT3749",0,210,-210,-210,1
PT3750,"PT3750",0,100,-100,-100,1
PT3751,"PT3751",1,0,1,1,1
PT3752,"PT3752",0,151,-151,-151,1
PT3754,"PT3754",4,931,-927,-927,8
PT3755,"PT3755",1,1195,-1194,-1194,9
PT3756,"PT3756",2,0,2,2,2
PT3759,"PT3759",0,2000,-2000,-2000,2
PT3760,"PT3760",0,802,-802,-802,3
PT3761,"PT3761",6,804,-798,-798,14
PT3762,"PT3762",0,200,-200,-200,1
PT3766,"킵세이프마그넷배터리",0,8717,-8717,-8717,1
PT3769,"PT3769",612,612,0,0,8
PT3771,"주의사항표기서(전용)_화이트",0,5916,-5916,-5916,1
PT3776,"PT3776",101,101,0,0,2
PT3779,"PT3779",612,410,202,202,14
PT3787,"PT3787",586,333,253,253,6
PT3790,"PT3790",132,0,132,132,1
PT3839,"PT3839",925,1214,-289,-289,14
PT3842,"PT3842",295,295,0,0,2
PT3850,"PT3850",0,914,-914,-914,5
PT3853,"PT3853",1566,102,1464,1464,7
PT3888,"PT3888",78,77,1,1,2
PT3893,"PT3893",3,306,-303,-303,7
PT3899,"PT3899",101,0,101,101,1
PT3900,"PT3900",0,2132,-2132,-2132,2
PT3905,"PT3905",230,0,230,230,1
PT3909,"PT3909",0,5,-5,-5,1
PT3910,"PT3910",2,0,2,2,2
PT3912,"PT3912",212,0,212,212,1
PT3913,"PT3913",0,100,-100,-100,1
PT3920,"PT3920",943,943,0,0,6
PT3938,"PT3938",0,804,-804,-804,3
PT3939,"PT3939",804,804,0,0,6
PT3941,"PT3941",284,284,0,0,2
PT3946,"PT3946",0,50,-50,-50,1
PT3983,"PT3983",0,343,-343,-343,1
PT3997,"PT3997",151,151,0,0,2
PT4012,"PT4012",2,0,2,2,1
PT4014,"PT4014",2,0,2,2,1
PT4015,"PT4015",2,498,-496,-496,2
PT4025,"PT4025",0,150,-150,-150,1
PT4027,"PT4027",457,457,0,0,2
PT4083,"PT4083",5,360,-355,-355,4
PT4085,"PT4085",84,0,84,84,1
PT4095,"PT4095",40,40,0,0,2
PT4103,"PT4103",151,151,0,0,2
PT4105,"PT4105",714,610,104,104,5
PT4109,"PT4109",1093,1093,0,0,6
PT4113,"PT4113",0,410,-410,-410,2
PT4114,"PT4114",2,50,-48,-48,2
PT4115,"PT4115",0,20,-20,-20,1
PT4165,"PT4165",206,206,0,0,2
PT4169,"PT4169",301,0,301,301,1
PT4173,"PT4173",305,0,305,305,1
PT4178,"PT4178",60,60,0,0,2
PT4179,"PT4179",20,20,0,0,2
PT4183,"PT4183",0,100,-100,-100,1
PT4184,"PT4184",0,710,-710,-710,5
PT4185,"PT4185",148,148,0,0,2
PT4194,"PT4194",101,101,0,0,2
PT4226,"PT4226",90,90,0,0,2
PT4227,"PT4227",1022,0,1022,1022,2
PT4239,"리프레쉬고체치약(쿨민트.50정)",0,3244,-3244,-3244,2
PT4240,"PT4240",152,152,0,0,2
PT4259,"PT4259",15,15,0,0,2
PT4264,"PT4264",152,152,0,0,4
PT4265,"PT4265",134,134,0,0,2
PT4266,"PT4266",90,90,0,0,2
PT4271,"PT4271",302,201,101,101,3
PT4272,"PT4272",0,300,-300,-300,1
PT4273,"PT4273",0,300,-300,-300,2
PT4274,"PT4274",108,50,58,58,17
PT4278,"PT4278",0,150,-150,-150,2
PT4279,"PT4279",9,200,-191,-191,6
PT4283,"퀵차지도킹형보조배터리_화이트",0,7012,-7012,-7012,1
PT4290,"PT4290",380,0,380,380,1
PT4295,"PT4295",0,150,-150,-150,1
PT4296,"PT4296",302,0,302,302,1
PT4312,"PT4312",144,144,0,0,2
PT4317,"PT4317",508,340,168,168,3
PT4318,"PT4318",138,138,0,0,2
PT4323,"PT4323",0,50,-50,-50,1
PT4324,"PT4324",50,50,0,0,2
PT4362,"PT4362",2,450,-448,-448,5
PT4371,"PT4371",0,2,-2,-2,2
PT4378,"PT4378",572,572,0,0,6
PT4379,"PT4379",5502,0,5502,5502,2
PT4380,"PT4380",0,160,-160,-160,2
PT4383,"PT4383",9,853,-844,-844,9
PT4393,"페이퍼G형박스_블랙",0,52,-52,-52,1
PT4394,"PT4394",47,55,-8,-8,2
PT4395,"지지박스_블랙",0,53,-53,-53,1
PT4399,"PT4399",0,106,-106,-106,1
PT4400,"PT4400",5000,23261,-18261,-18261,9
PT4401,"OPP",0,5754,-5754,-5754,6
PT4402,"PT4402",0,3126,-3126,-3126,4
PT4403,"PT4403",2160,3084,-924,-924,6
PT4416,"PT4416",359,276,83,83,7
PT4418,"PT4418",252,252,0,0,4
